Title,Author,Average Rating,Rating,Year Published
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
"EMDR Therapy Workbook: Self-Help Techniques for Overcoming Anxiety, Anger, Depression, Stress and Emotional Trauma, thanks to the Eye Movement Desensitization and Reprocessing (EMDR) Therapy",Anthony Russell,1.67,3,0
"The Power Of Positive Thinking: A Self-Help Guide on How to Overcome Negativity, Adversity, Depression and Change Your Life",Michael Dyer,3.75,12,0
Better!: Self Help For The Rest of Us,Terry Lancaster,4.50,16,0
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
Secrets To Becoming A Memory Genius: Easy Ways To Improve Your Memory,Sarah Riedel,2.10,10,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
Pain Relief without Drugs: A Self-Help Guide for Chronic Pain and Trauma,Jan Sadler,4.00,7,2007
"Anxiety: Anxiety Management & Relief starts here: No more Fear, Insecurity, Imperfection, Anxiety and Depression. Restore your life TODAY! (anxiety workbook, ... mental toughness, anxiety self help)",SBG Mental Health Club,3.50,8,2014
"The One-Way Relationship Workbook: Step-by-Step Help for Coping With Narcissists, Egotistical Lovers, Toxic Coworkers, and Others Who Are Incredibly Self-Absorbed",Neil J. Lavender,3.64,39,2011
One Hour Investor: The Beginner's Guide to Investing in the Stock Market:,Russell Ellroy,3.50,10,0
"Self Help Stories: a therapist's stories to teach, heal and inspire change",J. Macgregor,4.75,16,0
The Beginner's Guide to Sanity: A self-help book for people with psychosis,Erica Crompton,3.70,10,0
Minimalism: How to Simplify your life in the Digital age & gain inner fulfilment,Self Help Guide,3.00,2,0
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
Pain Relief without Drugs: A Self-Help Guide for Chronic Pain and Trauma,Jan Sadler,4.00,7,2007
"The One-Way Relationship Workbook: Step-by-Step Help for Coping With Narcissists, Egotistical Lovers, Toxic Coworkers, and Others Who Are Incredibly Self-Absorbed",Neil J. Lavender,3.64,39,2011
One Hour Investor: The Beginner's Guide to Investing in the Stock Market:,Russell Ellroy,3.50,10,0
"Self Help Stories: a therapist's stories to teach, heal and inspire change",J. Macgregor,4.75,16,0
The Beginner's Guide to Sanity: A self-help book for people with psychosis,Erica Crompton,3.70,10,0
Minimalism: How to Simplify your life in the Digital age & gain inner fulfilment,Self Help Guide,3.00,2,0
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
Pain Relief without Drugs: A Self-Help Guide for Chronic Pain and Trauma,Jan Sadler,4.00,7,2007
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
"EMDR Therapy Workbook: Self-Help Techniques for Overcoming Anxiety, Anger, Depression, Stress and Emotional Trauma, thanks to the Eye Movement Desensitization and Reprocessing (EMDR) Therapy",Anthony Russell,1.67,3,0
"The Power Of Positive Thinking: A Self-Help Guide on How to Overcome Negativity, Adversity, Depression and Change Your Life",Michael Dyer,3.75,12,0
Better!: Self Help For The Rest of Us,Terry Lancaster,4.50,16,0
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
Secrets To Becoming A Memory Genius: Easy Ways To Improve Your Memory,Sarah Riedel,2.10,10,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Anxiety: Anxiety Management & Relief starts here: No more Fear, Insecurity, Imperfection, Anxiety and Depression. Restore your life TODAY! (anxiety workbook, ... mental toughness, anxiety self help)",SBG Mental Health Club,3.50,8,2014
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
Pain Relief without Drugs: A Self-Help Guide for Chronic Pain and Trauma,Jan Sadler,4.00,7,2007
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
"EMDR Therapy Workbook: Self-Help Techniques for Overcoming Anxiety, Anger, Depression, Stress and Emotional Trauma, thanks to the Eye Movement Desensitization and Reprocessing (EMDR) Therapy",Anthony Russell,1.67,3,0
"The Power Of Positive Thinking: A Self-Help Guide on How to Overcome Negativity, Adversity, Depression and Change Your Life",Michael Dyer,3.75,12,0
Better!: Self Help For The Rest of Us,Terry Lancaster,4.50,16,0
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
Secrets To Becoming A Memory Genius: Easy Ways To Improve Your Memory,Sarah Riedel,2.10,10,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Anxiety: Anxiety Management & Relief starts here: No more Fear, Insecurity, Imperfection, Anxiety and Depression. Restore your life TODAY! (anxiety workbook, ... mental toughness, anxiety self help)",SBG Mental Health Club,3.50,8,2014
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
Pain Relief without Drugs: A Self-Help Guide for Chronic Pain and Trauma,Jan Sadler,4.00,7,2007
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
"Guided By His Light: A Personal Development Book for Christian Women | Manage Anxiety and Insecurities, Boost Self-Love, and Uncover Potential (Christian Self-Help Series for Women 2)",Diana Grace,4.00,2,0
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
"Guided By His Light: A Personal Development Book for Christian Women | Manage Anxiety and Insecurities, Boost Self-Love, and Uncover Potential (Christian Self-Help Series for Women 2)",Diana Grace,4.00,2,0
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
"Guided By His Light: A Personal Development Book for Christian Women | Manage Anxiety and Insecurities, Boost Self-Love, and Uncover Potential (Christian Self-Help Series for Women 2)",Diana Grace,4.00,2,0
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
"Guided By His Light: A Personal Development Book for Christian Women | Manage Anxiety and Insecurities, Boost Self-Love, and Uncover Potential (Christian Self-Help Series for Women 2)",Diana Grace,4.00,2,0
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
"Guided By His Light: A Personal Development Book for Christian Women | Manage Anxiety and Insecurities, Boost Self-Love, and Uncover Potential (Christian Self-Help Series for Women 2)",Diana Grace,4.00,2,0
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
Compulsive Hoarding: Self Help ~ The Ultimate Guide to Help You Stop Hoarding and Defeat Hoarding Disorder Once and For All,Anne C. Mapehrson,3.17,6,2014
"Overcoming Depersonalisation and Feelings of Unreality, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Dawn Baker,3.82,11,0
The Self-Help Smorgasbord,Knock Knock,2.25,4,2012
"Vagus Nerve: Access your Body’s Natural Healing Power!: Self Help Techniques and Exercises to Activate Your Vagus Nerve Stimulation, Overcoming Anxiety, Trauma, Chronic Illness, Depression and More.",Stephen W. Rosen,2.90,10,0
The Self-Help Way to Treat Colitis and Other IBS Conditions,DeLamar Gibbons,3.08,12,1998
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Surviving Narcissistic Abuse (e-Self help series),Linda Basson,3.45,11,2013
The 11 Rules that End Fights Forever: Christian Marriage Help You Cannot Survive Without!,Adam Tigges,5.00,6,2015
Elf: Buddy's Little S(Elf) Help Book,Buddy Hobbs,4.23,13,2003
Compulsive Hoarding: Self Help ~ The Ultimate Guide to Help You Stop Hoarding and Defeat Hoarding Disorder Once and For All,Anne C. Mapehrson,3.17,6,2014
"Overcoming Depersonalisation and Feelings of Unreality, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Dawn Baker,3.82,11,0
The Self-Help Smorgasbord,Knock Knock,2.25,4,2012
"Vagus Nerve: Access your Body’s Natural Healing Power!: Self Help Techniques and Exercises to Activate Your Vagus Nerve Stimulation, Overcoming Anxiety, Trauma, Chronic Illness, Depression and More.",Stephen W. Rosen,2.90,10,0
The Self-Help Way to Treat Colitis and Other IBS Conditions,DeLamar Gibbons,3.08,12,1998
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Surviving Narcissistic Abuse (e-Self help series),Linda Basson,3.45,11,2013
The 11 Rules that End Fights Forever: Christian Marriage Help You Cannot Survive Without!,Adam Tigges,5.00,6,2015
Elf: Buddy's Little S(Elf) Help Book,Buddy Hobbs,4.23,13,2003
Compulsive Hoarding: Self Help ~ The Ultimate Guide to Help You Stop Hoarding and Defeat Hoarding Disorder Once and For All,Anne C. Mapehrson,3.17,6,2014
"Overcoming Depersonalisation and Feelings of Unreality, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Dawn Baker,3.82,11,0
The Self-Help Smorgasbord,Knock Knock,2.25,4,2012
"Vagus Nerve: Access your Body’s Natural Healing Power!: Self Help Techniques and Exercises to Activate Your Vagus Nerve Stimulation, Overcoming Anxiety, Trauma, Chronic Illness, Depression and More.",Stephen W. Rosen,2.90,10,0
The Self-Help Way to Treat Colitis and Other IBS Conditions,DeLamar Gibbons,3.08,12,1998
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Surviving Narcissistic Abuse (e-Self help series),Linda Basson,3.45,11,2013
The 11 Rules that End Fights Forever: Christian Marriage Help You Cannot Survive Without!,Adam Tigges,5.00,6,2015
Elf: Buddy's Little S(Elf) Help Book,Buddy Hobbs,4.23,13,2003
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
Compulsive Hoarding: Self Help ~ The Ultimate Guide to Help You Stop Hoarding and Defeat Hoarding Disorder Once and For All,Anne C. Mapehrson,3.17,6,2014
"Overcoming Depersonalisation and Feelings of Unreality, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Dawn Baker,3.82,11,0
The Self-Help Smorgasbord,Knock Knock,2.25,4,2012
"Vagus Nerve: Access your Body’s Natural Healing Power!: Self Help Techniques and Exercises to Activate Your Vagus Nerve Stimulation, Overcoming Anxiety, Trauma, Chronic Illness, Depression and More.",Stephen W. Rosen,2.90,10,0
The Self-Help Way to Treat Colitis and Other IBS Conditions,DeLamar Gibbons,3.08,12,1998
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Surviving Narcissistic Abuse (e-Self help series),Linda Basson,3.45,11,2013
The 11 Rules that End Fights Forever: Christian Marriage Help You Cannot Survive Without!,Adam Tigges,5.00,6,2015
Elf: Buddy's Little S(Elf) Help Book,Buddy Hobbs,4.23,13,2003
Compulsive Hoarding: Self Help ~ The Ultimate Guide to Help You Stop Hoarding and Defeat Hoarding Disorder Once and For All,Anne C. Mapehrson,3.17,6,2014
"Overcoming Depersonalisation and Feelings of Unreality, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Dawn Baker,3.82,11,0
The Self-Help Smorgasbord,Knock Knock,2.25,4,2012
"Vagus Nerve: Access your Body’s Natural Healing Power!: Self Help Techniques and Exercises to Activate Your Vagus Nerve Stimulation, Overcoming Anxiety, Trauma, Chronic Illness, Depression and More.",Stephen W. Rosen,2.90,10,0
The Self-Help Way to Treat Colitis and Other IBS Conditions,DeLamar Gibbons,3.08,12,1998
"Self Help: A Short Simple Guide To Get You Started On The Journey Of Self Improvement (Self Help Books, Self Help For Women, Self Help For Men, Motivation)",Roy Williams,3.40,5,0
"Recovery From Narcissistic Abuse, Codependency & Gaslighting, Trauma Bonds & Complex-PTSD: Break Free from Toxic Relationships, Overcome Fear & Guilt, ... Full of Joy (5in1). (Self-Help Books)",Vivian Mills,4.50,2,0
Surviving Narcissistic Abuse (e-Self help series),Linda Basson,3.45,11,2013
The 11 Rules that End Fights Forever: Christian Marriage Help You Cannot Survive Without!,Adam Tigges,5.00,6,2015
Elf: Buddy's Little S(Elf) Help Book,Buddy Hobbs,4.23,13,2003
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
Secrets To Becoming A Memory Genius: Easy Ways To Improve Your Memory,Sarah Riedel,2.10,10,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Anxiety: Anxiety Management & Relief starts here: No more Fear, Insecurity, Imperfection, Anxiety and Depression. Restore your life TODAY! (anxiety workbook, ... mental toughness, anxiety self help)",SBG Mental Health Club,3.50,8,2014
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
Pain Relief without Drugs: A Self-Help Guide for Chronic Pain and Trauma,Jan Sadler,4.00,7,2007
"EMDR Therapy Workbook: Self-Help Techniques for Overcoming Anxiety, Anger, Depression, Stress and Emotional Trauma, thanks to the Eye Movement Desensitization and Reprocessing (EMDR) Therapy",Anthony Russell,1.67,3,0
"The Power Of Positive Thinking: A Self-Help Guide on How to Overcome Negativity, Adversity, Depression and Change Your Life",Michael Dyer,3.75,12,0
Better!: Self Help For The Rest of Us,Terry Lancaster,4.50,16,0
"Diverticulitis Cookbook: The Complete Nutrition Guide with 101 Easy, Healthy & Fast Recipes + 28 Days Meal Plan to Relieve Diverticular Flare-Ups for a ...",Robert Dickens,0.00,0,0
"VAGUS NERVE: SECRETS EXERCISES AND TECHNIQUES: A self-help guide to help you overcome Anxiety and Depression. Real help for Weight Loss, Autoimmune Diseases, Diabetes.",Robin Eike Jung,2.57,7,0
The Authoritative Guide to Self-Help Books,John W. Santrock,4.00,1,1994
Best of Tinkle Digest Comics | Pack of 5 Books | Single Digest | Tales from Suppandi and Tantri Mantri inside Paperback – 1 January 2018,Rajni Thindiath (Author) Self Help (1 January 2018),4.00,1,0
Depression Self Help: How To Overcome Depression For Life,Sarah Palmer,3.12,8,2015
"VAGUS NERVE: Natural Healing Stimulation Through Activities and Specific Exercises: Self Help Guide to Free Yourself From Anxiety, Depression, Trauma, ... Inflammation and Autoimmunity for Beginners",Habib Porges,4.33,3,0
Sex Games: What Men Really Think About Sex Partners,Raphael Schwartz,3.50,6,2014
"How I took control of Lichen Sclerosis, and stopped it controlling me: A self-tested, self-help guide and solution: from one sufferer to another",D.A.  Lewis,3.00,12,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
"Self Esteem: You Don't Need a Workbook, You Need a Change of Perspective. Stop Looking for Ten Steps and Start Changing Your Life (Self Help Book 1)",Michelle Kade,4.78,9,0
Procrastination - How To Overcome Procrastination And Get Things Done Now,Patrick Cogen,3.44,9,2014
Secrets To Becoming A Memory Genius: Easy Ways To Improve Your Memory,Sarah Riedel,2.10,10,2014
Treat Your Own Knees: A Self-help Treatment Plan to Fully Rehabilitate 26 Common Knee Injuries and Conditions,Brad  Walker,3.80,10,2011
"Anxiety: Anxiety Management & Relief starts here: No more Fear, Insecurity, Imperfection, Anxiety and Depression. Restore your life TODAY! (anxiety workbook, ... mental toughness, anxiety self help)",SBG Mental Health Club,3.50,8,2014
Yes You Can: Timeless Advice from Self-Help Experts,Jennifer McKnight-Trontz,3.12,8,2000
